1002 5000
62 281 1
62 545 1
62 717 1
62 718 1
62 925 1
63 22 1
63 110 1
63 139 1
63 149 1
63 208 1
63 586 1
63 590 1
63 613 1
63 826 1
63 836 1
63 922 1
63 958 1
64 54 1
64 147 1
64 181 1
64 216 1
64 234 1
64 278 1
64 460 1
64 571 1
64 577 1
64 738 1
64 817 1
64 857 1
64 928 1
64 951 1
65 246 1
65 335 1
65 383 1
65 423 1
65 575 1
65 582 1
65 708 1
65 829 1
65 841 1
65 994 1
66 584 1
66 846 1
67 373 1
67 591 1
67 735 1
67 846 1
68 622 1
69 49 1
69 121 1
69 166 1
69 169 1
69 186 1
69 292 1
69 432 1
69 488 1
69 568 1
69 647 1
69 669 1
69 986 1
70 213 1
70 581 1
70 903 1
71 27 1
71 74 1
71 114 1
71 510 1
71 584 1
71 667 1
71 723 1
71 874 1
72 659 1
72 678 1
73 89 1
73 96 1
73 154 1
73 324 1
73 561 1
73 572 1
73 609 1
73 616 1
73 923 1
73 992 1
74 148 1
74 457 1
75 2 1
75 219 1
75 227 1
75 755 1
75 926 1
77 14 1
77 156 1
77 275 1
77 450 1
77 764 1
77 782 1
77 860 1
77 957 1
78 61 1
78 289 1
78 478 1
78 668 1
78 862 1
79 61 1
79 93 1
79 709 1
80 41 1
81 181 1
82 105 1
82 171 1
82 216 1
82 246 1
82 255 1
82 282 1
82 481 1
82 587 1
82 732 1
82 925 1
82 970 1
82 990 1
83 175 1
83 210 1
83 314 1
83 386 1
83 720 1
85 281 1
85 453 1
85 603 1
85 665 1
85 710 1
85 732 1
86 397 1
86 484 1
86 553 1
86 555 1
86 666 1
86 713 1
86 727 1
86 739 1
86 855 1
87 38 1
87 204 1
87 220 1
88 37 1
88 232 1
88 753 1
89 11 1
89 81 1
89 341 1
89 486 1
89 722 1
89 785 1
89 844 1
89 966 1
90 169 1
90 211 1
90 307 1
90 395 1
90 402 1
90 561 1
90 673 1
90 896 1
91 289 1
91 345 1
91 418 1
91 813 1
91 948 1
92 200 1
92 553 1
93 297 1
93 451 1
94 962 1
95 368 1
95 414 1
95 846 1
96 411 1
96 839 1
96 962 1
97 17 1
97 47 1
97 171 1
97 324 1
97 371 1
97 632 1
97 677 1
97 782 1
97 902 1
98 29 1
98 47 1
98 186 1
98 328 1
98 671 1
98 801 1
98 962 1
98 986 1
101 104 1
101 241 1
101 305 1
101 418 1
102 53 1
102 85 1
102 304 1
102 492 1
102 605 1
102 870 1
103 323 1
103 602 1
103 642 1
103 693 1
103 698 1
103 767 1
103 820 1
103 962 1
104 124 1
104 197 1
105 85 1
105 173 1
105 262 1
105 661 1
105 994 1
106 39 1
106 105 1
106 362 1
106 636 1
106 677 1
106 764 1
106 845 1
106 859 1
106 885 1
108 148 1
108 247 1
108 414 1
108 710 1
109 454 1
109 785 1
109 926 1
110 368 1
111 219 1
111 821 1
113 109 1
113 152 1
113 277 1
113 304 1
113 368 1
113 410 1
113 512 1
113 642 1
113 682 1
113 841 1
114 4 1
114 91 1
114 112 1
114 310 1
114 664 1
114 837 1
114 896 1
115 111 1
115 298 1
115 983 1
116 451 1
116 525 1
116 659 1
116 757 1
117 50 1
117 95 1
117 100 1
117 465 1
117 981 1
118 94 1
118 125 1
118 213 1
118 280 1
118 398 1
118 872 1
120 62 1
120 87 1
120 200 1
120 207 1
120 328 1
120 445 1
120 806 1
120 968 1
122 93 1
122 124 1
122 151 1
122 325 1
122 485 1
122 727 1
123 29 1
123 340 1
123 965 1
124 709 1
125 11 1
125 34 1
125 208 1
125 476 1
125 562 1
125 576 1
125 722 1
125 997 1
126 162 1
126 281 1
126 454 1
126 983 1
127 355 1
127 429 1
127 983 1
128 244 1
128 732 1
129 262 1
129 490 1
129 622 1
129 625 1
129 678 1
130 168 1
130 210 1
130 334 1
130 422 1
130 563 1
130 691 1
130 815 1
130 818 1
130 972 1
131 112 1
131 161 1
131 252 1
131 258 1
131 345 1
131 495 1
131 509 1
131 720 1
131 896 1
131 937 1
132 30 1
132 234 1
132 304 1
132 438 1
132 462 1
132 696 1
132 774 1
132 865 1
132 891 1
133 46 1
133 149 1
133 456 1
133 619 1
133 758 1
133 981 1
134 168 1
134 173 1
134 178 1
134 290 1
134 485 1
134 626 1
134 710 1
134 858 1
134 877 1
134 891 1
134 926 1
134 932 1
135 91 1
135 279 1
135 356 1
135 609 1
135 994 1
136 169 1
136 227 1
136 268 1
136 368 1
136 503 1
136 733 1
136 795 1
136 851 1
136 960 1
137 59 1
137 482 1
137 691 1
137 710 1
137 890 1
138 151 1
138 178 1
138 694 1
139 49 1
139 138 1
139 195 1
139 524 1
139 691 1
139 716 1
139 743 1
139 928 1
139 965 1
139 972 1
140 5 1
140 95 1
140 344 1
140 350 1
140 498 1
140 687 1
140 724 1
140 861 1
140 874 1
141 224 1
141 922 1
142 886 1
142 909 1
143 429 1
143 947 1
144 2 1
144 103 1
144 157 1
144 263 1
144 561 1
144 580 1
144 683 1
145 4 1
145 5 1
145 38 1
145 148 1
145 391 1
145 517 1
145 624 1
145 759 1
145 815 1
146 10 1
146 313 1
146 420 1
146 461 1
146 525 1
146 732 1
147 113 1
147 211 1
147 248 1
147 829 1
147 877 1
148 622 1
149 379 1
150 604 1
150 948 1
151 737 1
151 955 1
152 288 1
152 461 1
152 471 1
152 710 1
153 470 1
153 943 1
154 34 1
154 438 1
154 604 1
155 95 1
155 122 1
155 621 1
155 797 1
155 953 1
156 244 1
158 170 1
158 186 1
158 445 1
158 640 1
158 848 1
158 996 1
159 51 1
159 182 1
160 1000 1
160 79 1
160 161 1
160 182 1
160 224 1
160 252 1
160 263 1
160 266 1
160 300 1
160 461 1
160 552 1
160 643 1
160 645 1
160 699 1
160 777 1
160 932 1
161 295 1
161 314 1
161 335 1
161 370 1
161 879 1
161 942 1
162 16 1
162 771 1
163 295 1
163 370 1
163 446 1
163 565 1
163 629 1
163 697 1
163 699 1
163 769 1
163 778 1
163 788 1
163 992 1
164 42 1
164 101 1
164 141 1
164 179 1
164 368 1
164 418 1
164 454 1
164 577 1
164 904 1
165 70 1
165 187 1
165 390 1
165 567 1
165 827 1
165 867 1
166 241 1
166 382 1
166 545 1
166 560 1
166 587 1
166 961 1
168 124 1
168 328 1
168 451 1
168 481 1
168 487 1
168 612 1
168 753 1
168 815 1
168 844 1
168 858 1
169 99 1
169 241 1
169 306 1
169 349 1
169 726 1
169 753 1
169 788 1
169 842 1
170 186 1
170 278 1
170 355 1
170 553 1
170 564 1
170 724 1
170 771 1
170 860 1
170 886 1
170 960 1
171 839 1
172 340 1
172 622 1
174 61 1
174 110 1
174 314 1
174 604 1
174 815 1
175 618 1
176 123 1
176 210 1
176 450 1
176 621 1
176 937 1
177 84 1
177 99 1
177 157 1
177 244 1
177 245 1
177 299 1
177 382 1
177 443 1
177 455 1
177 564 1
179 551 1
179 631 1
179 975 1
180 774 1
183 41 1
183 108 1
183 493 1
183 541 1
183 593 1
183 632 1
183 782 1
183 957 1
184 11 1
184 145 1
184 287 1
184 564 1
184 575 1
184 757 1
184 794 1
184 997 1
185 479 1
185 815 1
185 983 1
186 88 1
186 110 1
186 582 1
186 692 1
186 972 1
187 37 1
187 217 1
187 379 1
188 70 1
188 138 1
188 382 1
188 404 1
188 427 1
188 472 1
188 678 1
188 727 1
188 839 1
188 844 1
188 876 1
189 52 1
189 234 1
189 629 1
189 635 1
189 664 1
189 701 1
189 854 1
189 891 1
189 930 1
189 979 1
191 2 1
191 219 1
191 271 1
191 499 1
191 551 1
191 834 1
191 972 1
192 39 1
192 95 1
192 182 1
192 271 1
192 312 1
192 328 1
192 422 1
192 747 1
192 795 1
192 887 1
192 893 1
192 938 1
192 972 1
193 72 1
193 332 1
193 394 1
193 425 1
193 455 1
193 675 1
193 732 1
193 916 1
194 303 1
195 176 1
195 274 1
195 391 1
195 527 1
195 597 1
195 627 1
195 773 1
195 942 1
196 34 1
196 70 1
196 303 1
196 329 1
196 448 1
196 493 1
196 495 1
196 520 1
196 536 1
196 736 1
196 746 1
196 771 1
196 785 1
196 946 1
198 263 1
198 335 1
198 351 1
198 387 1
198 395 1
198 486 1
198 684 1
198 748 1
198 757 1
198 957 1
199 109 1
199 289 1
199 350 1
199 366 1
199 393 1
199 440 1
199 522 1
199 534 1
199 717 1
199 732 1
199 829 1
200 95 1
200 112 1
200 297 1
200 483 1
200 561 1
201 57 1
201 84 1
201 93 1
201 167 1
201 246 1
201 536 1
201 625 1
201 698 1
201 905 1
202 13 1
202 45 1
202 99 1
202 157 1
202 285 1
202 321 1
202 354 1
202 421 1
202 476 1
202 612 1
202 733 1
202 881 1
203 837 1
204 94 1
205 523 1
205 525 1
205 879 1
205 994 1
206 207 1
206 232 1
206 287 1
206 508 1
206 884 1
206 959 1
207 205 1
207 676 1
207 771 1
207 777 1
209 121 1
209 553 1
209 769 1
209 839 1
210 410 1
211 305 1
211 399 1
211 668 1
211 869 1
211 884 1
212 143 1
212 351 1
212 417 1
213 719 1
214 91 1
214 248 1
214 344 1
214 356 1
214 715 1
215 68 1
215 406 1
215 515 1
215 556 1
215 561 1
215 581 1
215 863 1
215 889 1
215 937 1
215 942 1
216 470 1
217 197 1
218 209 1
218 246 1
218 268 1
218 450 1
218 602 1
218 709 1
218 818 1
219 157 1
219 190 1
219 429 1
221 205 1
221 347 1
221 830 1
221 861 1
221 890 1
222 23 1
222 51 1
222 297 1
222 340 1
222 486 1
222 908 1
223 45 1
223 124 1
223 143 1
223 263 1
223 275 1
223 291 1
223 313 1
223 453 1
223 642 1
223 678 1
223 917 1
224 45 1
224 203 1
224 209 1
224 702 1
225 187 1
225 331 1
225 473 1
225 486 1
225 601 1
225 682 1
225 953 1
226 21 1
226 194 1
226 524 1
226 547 1
226 997 1
227 47 1
227 334 1
227 618 1
228 232 1
228 260 1
228 303 1
228 442 1
228 561 1
228 656 1
228 757 1
228 774 1
228 836 1
228 891 1
229 26 1
229 105 1
229 126 1
229 161 1
229 232 1
229 270 1
229 362 1
229 447 1
229 450 1
229 807 1
229 866 1
229 903 1
230 109 1
230 220 1
230 341 1
230 712 1
230 946 1
231 247 1
231 324 1
232 91 1
232 151 1
232 171 1
232 627 1
232 797 1
233 111 1
233 143 1
233 176 1
233 182 1
233 203 1
233 377 1
233 384 1
233 419 1
233 592 1
233 906 1
234 299 1
234 557 1
234 641 1
234 776 1
234 792 1
235 39 1
235 55 1
235 137 1
235 230 1
235 243 1
235 272 1
235 366 1
235 654 1
235 659 1
235 673 1
235 686 1
235 745 1
235 815 1
235 863 1
235 947 1
236 273 1
236 427 1
236 575 1
236 875 1
236 953 1
237 68 1
237 245 1
237 418 1
237 612 1
237 817 1
237 922 1
238 122 1
238 288 1
238 443 1
238 785 1
239 18 1
239 249 1
239 379 1
239 409 1
239 471 1
239 666 1
239 685 1
239 695 1
239 897 1
240 152 1
240 231 1
240 817 1
240 892 1
241 124 1
241 182 1
241 818 1
241 953 1
241 999 1
242 180 1
242 340 1
242 382 1
242 396 1
243 50 1
243 288 1
243 314 1
243 441 1
243 556 1
243 558 1
243 560 1
243 568 1
243 641 1
243 815 1
245 498 1
245 654 1
246 40 1
246 154 1
246 194 1
246 203 1
246 486 1
246 612 1
246 621 1
246 622 1
246 820 1
246 997 1
247 94 1
247 271 1
247 651 1
247 737 1
248 22 1
248 605 1
248 808 1
249 27 1
249 375 1
249 612 1
249 730 1
249 862 1
250 386 1
250 510 1
250 603 1
250 836 1
250 841 1
250 932 1
251 27 1
251 341 1
251 345 1
251 455 1
251 677 1
251 687 1
252 263 1
252 276 1
252 294 1
252 312 1
252 556 1
252 616 1
252 748 1
252 866 1
253 265 1
253 308 1
253 400 1
253 624 1
253 625 1
253 646 1
253 653 1
253 698 1
253 786 1
253 909 1
253 943 1
254 498 1
254 517 1
254 737 1
254 992 1
255 299 1
255 380 1
255 727 1
255 871 1
256 490 1
257 80 1
257 210 1
257 529 1
257 647 1
258 211 1
258 527 1
258 573 1
258 661 1
258 715 1
258 813 1
258 846 1
260 16 1
261 29 1
261 92 1
261 268 1
261 411 1
261 445 1
261 828 1
261 972 1
262 38 1
262 178 1
262 276 1
263 175 1
263 320 1
263 561 1
264 414 1
264 508 1
264 552 1
264 677 1
264 812 1
264 884 1
264 989 1
264 990 1
265 150 1
265 369 1
265 382 1
265 387 1
265 391 1
265 475 1
265 739 1
266 289 1
266 489 1
266 523 1
266 607 1
266 643 1
266 732 1
266 767 1
266 919 1
267 648 1
267 700 1
267 737 1
267 942 1
268 727 1
269 94 1
270 50 1
270 374 1
270 445 1
271 826 1
272 45 1
272 741 1
272 770 1
273 92 1
273 169 1
273 263 1
273 373 1
273 528 1
273 631 1
273 667 1
273 771 1
273 825 1
274 72 1
274 173 1
274 213 1
274 224 1
274 348 1
274 648 1
274 720 1
274 869 1
274 888 1
274 941 1
275 244 1
275 709 1
276 138 1
276 157 1
276 256 1
276 291 1
276 566 1
276 737 1
278 21 1
279 52 1
279 162 1
279 560 1
279 570 1
279 999 1
280 27 1
280 175 1
280 289 1
280 457 1
280 483 1
280 769 1
281 124 1
281 340 1
281 414 1
281 622 1
281 774 1
281 947 1
282 890 1
283 11 1
283 84 1
283 641 1
283 684 1
283 720 1
283 760 1
283 834 1
284 259 1
284 392 1
284 525 1
284 702 1
285 93 1
285 215 1
285 244 1
285 563 1
285 665 1
285 867 1
286 40 1
286 564 1
286 693 1
286 862 1
287 397 1
287 664 1
287 896 1
289 162 1
289 483 1
289 553 1
290 112 1
290 155 1
290 195 1
290 211 1
290 263 1
290 314 1
290 430 1
290 534 1
290 604 1
290 629 1
290 786 1
291 141 1
291 783 1
291 794 1
292 17 1
292 47 1
292 163 1
292 168 1
292 170 1
292 197 1
292 276 1
292 532 1
292 621 1
292 711 1
292 800 1
292 905 1
293 157 1
293 725 1
293 783 1
293 854 1
294 157 1
294 469 1
294 564 1
294 648 1
294 687 1
294 858 1
295 72 1
295 454 1
295 618 1
295 631 1
295 671 1
295 842 1
296 320 1
296 433 1
296 552 1
296 745 1
296 836 1
298 592 1
298 700 1
298 732 1
299 328 1
299 590 1
299 668 1
300 92 1
300 98 1
300 187 1
300 309 1
300 392 1
300 461 1
300 710 1
300 782 1
300 816 1
300 889 1
300 903 1
300 928 1
300 973 1
301 103 1
301 545 1
301 624 1
301 709 1
301 797 1
301 958 1
302 56 1
302 85 1
302 246 1
302 358 1
302 457 1
302 553 1
302 654 1
302 675 1
302 745 1
302 751 1
302 946 1
303 774 1
303 965 1
305 307 1
305 953 1
306 42 1
306 587 1
308 118 1
308 137 1
308 162 1
308 463 1
308 469 1
308 692 1
308 830 1
308 846 1
309 590 1
309 819 1
310 586 1
311 59 1
311 104 1
311 324 1
311 350 1
315 123 1
315 307 1
315 727 1
316 127 1
316 137 1
316 281 1
316 387 1
316 457 1
316 633 1
316 711 1
316 741 1
316 916 1
316 964 1
317 174 1
317 277 1
317 285 1
317 446 1
317 485 1
317 504 1
317 681 1
317 774 1
318 21 1
318 25 1
318 166 1
318 196 1
318 275 1
318 399 1
318 558 1
318 653 1
318 716 1
318 721 1
318 736 1
318 745 1
318 816 1
318 902 1
318 988 1
319 167 1
319 612 1
319 801 1
319 867 1
320 51 1
320 413 1
320 708 1
320 926 1
321 51 1
321 191 1
321 251 1
321 295 1
321 299 1
321 330 1
321 553 1
321 566 1
321 609 1
321 631 1
321 671 1
321 822 1
321 960 1
322 6 1
322 175 1
322 190 1
322 459 1
322 520 1
322 613 1
322 764 1
322 979 1
323 552 1
323 888 1
324 203 1
324 278 1
324 620 1
325 948 1
326 15 1
326 17 1
326 29 1
326 122 1
326 134 1
326 234 1
326 355 1
326 396 1
326 490 1
326 568 1
326 667 1
326 790 1
327 13 1
327 19 1
327 347 1
327 412 1
327 719 1
327 734 1
328 197 1
328 748 1
329 19 1
329 490 1
329 558 1
329 701 1
329 792 1
330 70 1
330 600 1
330 735 1
330 828 1
330 845 1
330 846 1
330 884 1
331 148 1
331 203 1
331 299 1
331 429 1
331 579 1
331 640 1
331 897 1
331 984 1
332 283 1
332 418 1
333 11 1
333 281 1
333 403 1
333 460 1
333 632 1
333 650 1
333 656 1
333 679 1
333 820 1
333 862 1
335 124 1
335 846 1
335 941 1
335 953 1
336 371 1
336 522 1
336 608 1
336 942 1
337 17 1
337 128 1
337 369 1
337 782 1
338 275 1
338 372 1
338 379 1
338 494 1
338 837 1
338 867 1
338 886 1
339 61 1
339 220 1
339 567 1
339 612 1
339 692 1
339 724 1
339 729 1
339 846 1
342 462 1
342 722 1
342 909 1
342 942 1
343 74 1
343 107 1
343 283 1
343 378 1
343 477 1
343 572 1
343 686 1
343 786 1
343 949 1
343 966 1
344 454 1
344 547 1
344 668 1
344 837 1
344 896 1
344 902 1
345 260 1
346 67 1
346 163 1
346 179 1
346 234 1
346 261 1
346 351 1
346 411 1
346 607 1
346 627 1
346 631 1
347 415 1
347 785 1
348 68 1
348 303 1
349 559 1
350 182 1
350 401 1
350 491 1
350 600 1
350 632 1
350 662 1
350 685 1
351 397 1
351 520 1
351 551 1
351 820 1
352 68 1
352 709 1
353 37 1
353 105 1
353 134 1
353 426 1
353 429 1
353 443 1
353 461 1
353 471 1
353 502 1
353 777 1
353 963 1
354 109 1
354 147 1
354 199 1
354 248 1
354 451 1
354 579 1
354 592 1
354 826 1
354 951 1
355 21 1
355 169 1
355 774 1
355 829 1
355 862 1
355 979 1
356 451 1
357 361 1
357 373 1
357 416 1
357 427 1
357 612 1
357 662 1
357 681 1
357 876 1
357 987 1
358 34 1
358 92 1
358 104 1
358 220 1
358 224 1
358 291 1
358 404 1
358 415 1
358 570 1
358 782 1
359 125 1
359 224 1
359 580 1
359 879 1
360 75 1
360 76 1
360 145 1
360 190 1
360 525 1
360 589 1
360 691 1
360 817 1
360 883 1
362 89 1
362 922 1
362 961 1
363 257 1
363 392 1
363 527 1
363 709 1
364 55 1
364 310 1
364 484 1
364 998 1
365 74 1
365 579 1
365 709 1
365 757 1
365 872 1
365 923 1
366 3 1
366 95 1
366 211 1
366 451 1
366 662 1
366 716 1
366 792 1
366 983 1
367 11 1
367 302 1
367 331 1
367 342 1
367 394 1
367 397 1
367 456 1
367 481 1
367 727 1
367 827 1
369 211 1
369 269 1
369 282 1
369 441 1
369 541 1
369 582 1
369 592 1
369 600 1
369 613 1
369 727 1
369 824 1
370 769 1
371 314 1
372 56 1
372 104 1
372 377 1
372 483 1
372 642 1
372 886 1
372 897 1
372 926 1
373 947 1
373 955 1
374 95 1
374 157 1
374 173 1
374 234 1
374 297 1
374 556 1
374 758 1
374 922 1
374 983 1
376 8 1
376 112 1
376 151 1
376 288 1
376 403 1
376 671 1
376 827 1
376 848 1
376 956 1
376 965 1
378 2 1
378 41 1
378 52 1
378 104 1
378 277 1
378 382 1
378 485 1
378 551 1
378 557 1
378 665 1
378 825 1
378 842 1
378 846 1
380 148 1
380 172 1
380 398 1
380 605 1
380 761 1
381 13 1
381 15 1
381 118 1
381 246 1
381 268 1
381 594 1
381 702 1
381 858 1
381 897 1
381 962 1
382 454 1
383 55 1
383 356 1
383 432 1
383 480 1
383 817 1
384 295 1
384 518 1
384 722 1
384 782 1
384 950 1
384 995 1
385 365 1
385 562 1
385 668 1
385 700 1
386 37 1
387 138 1
387 672 1
388 245 1
388 392 1
388 575 1
388 637 1
389 312 1
389 406 1
389 468 1
389 521 1
389 594 1
389 626 1
389 954 1
390 51 1
390 155 1
390 172 1
390 177 1
390 319 1
390 477 1
390 637 1
390 767 1
391 181 1
391 596 1
393 61 1
393 247 1
393 402 1
393 787 1
395 32 1
395 294 1
395 311 1
395 378 1
395 676 1
395 678 1
395 771 1
395 877 1
395 972 1
396 123 1
396 312 1
396 797 1
399 38 1
399 307 1
399 542 1
400 3 1
400 38 1
400 281 1
400 341 1
400 510 1
400 567 1
400 745 1
400 916 1
401 573 1
402 119 1
402 216 1
402 260 1
402 303 1
402 349 1
402 391 1
402 418 1
402 509 1
402 524 1
402 577 1
402 678 1
403 417 1
404 277 1
404 352 1
404 397 1
404 451 1
404 651 1
404 687 1
404 702 1
404 908 1
405 16 1
405 351 1
406 398 1
406 605 1
407 276 1
407 395 1
407 786 1
407 837 1
408 27 1
408 138 1
408 312 1
408 765 1
408 768 1
408 858 1
409 111 1
409 129 1
409 472 1
409 643 1
409 699 1
409 952 1
409 980 1
411 632 1
411 897 1
411 983 1
412 169 1
412 414 1
412 761 1
413 57 1
414 277 1
414 479 1
415 260 1
416 8 1
416 230 1
416 248 1
416 312 1
416 369 1
416 421 1
416 444 1
416 871 1
417 72 1
417 397 1
417 953 1
419 155 1
419 341 1
419 349 1
419 496 1
419 592 1
420 92 1
420 182 1
420 272 1
420 450 1
420 567 1
420 643 1
420 665 1
420 982 1
421 66 1
421 168 1
421 213 1
421 394 1
421 661 1
421 769 1
421 787 1
421 845 1
422 362 1
422 406 1
422 419 1
422 621 1
423 80 1
423 560 1
423 573 1
423 709 1
424 115 1
424 240 1
424 257 1
424 344 1
424 577 1
424 639 1
426 21 1
426 42 1
426 209 1
426 211 1
426 586 1
426 877 1
427 70 1
427 181 1
427 323 1
427 351 1
427 587 1
427 622 1
427 650 1
427 720 1
427 800 1
427 807 1
428 209 1
428 229 1
428 586 1
428 704 1
428 737 1
428 741 1
428 923 1
430 29 1
430 299 1
430 711 1
430 937 1
431 47 1
432 94 1
432 182 1
432 194 1
432 304 1
433 75 1
433 93 1
433 102 1
433 124 1
433 481 1
433 768 1
433 883 1
433 956 1
434 135 1
434 263 1
434 275 1
434 277 1
434 310 1
434 378 1
434 547 1
434 728 1
434 770 1
434 808 1
434 986 1
435 443 1
435 580 1
436 552 1
436 562 1
436 688 1
436 792 1
436 967 1
437 294 1
437 344 1
437 665 1
437 943 1
438 121 1
438 148 1
438 171 1
438 190 1
438 291 1
438 313 1
438 665 1
439 212 1
439 238 1
439 364 1
439 479 1
439 517 1
439 579 1
439 859 1
440 406 1
440 487 1
440 577 1
440 685 1
440 755 1
441 413 1
441 573 1
442 37 1
442 341 1
442 351 1
442 379 1
442 629 1
443 797 1
444 208 1
444 305 1
444 361 1
444 382 1
444 436 1
444 615 1
444 682 1
444 759 1
444 884 1
445 2 1
445 28 1
445 197 1
445 771 1
446 282 1
446 757 1
446 813 1
446 896 1
447 94 1
447 341 1
447 380 1
447 411 1
448 148 1
448 479 1
448 580 1
448 785 1
449 57 1
449 208 1
449 515 1
449 813 1
450 584 1
451 45 1
452 167 1
452 407 1
452 412 1
452 521 1
453 99 1
453 110 1
455 941 1
455 959 1
456 150 1
456 267 1
456 315 1
456 581 1
456 762 1
456 831 1
456 848 1
456 938 1
457 178 1
458 53 1
458 151 1
458 520 1
458 684 1
458 839 1
458 952 1
459 190 1
459 260 1
459 309 1
459 365 1
459 440 1
459 475 1
459 908 1
460 992 1
461 7 1
461 417 1
462 40 1
462 70 1
462 93 1
462 186 1
462 629 1
462 751 1
462 871 1
463 22 1
463 45 1
463 88 1
463 263 1
463 305 1
463 562 1
463 619 1
463 687 1
463 992 1
464 171 1
464 180 1
464 294 1
464 410 1
464 455 1
464 709 1
464 822 1
464 827 1
465 155 1
465 313 1
465 355 1
465 797 1
465 816 1
465 956 1
466 169 1
466 284 1
466 480 1
466 691 1
466 717 1
466 724 1
466 872 1
466 951 1
467 197 1
467 213 1
467 219 1
467 411 1
467 448 1
467 553 1
467 705 1
467 724 1
467 811 1
467 827 1
467 891 1
467 984 1
467 997 1
468 87 1
468 220 1
468 482 1
468 636 1
468 698 1
468 862 1
468 912 1
469 29 1
469 56 1
469 57 1
469 446 1
469 517 1
469 592 1
469 605 1
469 710 1
470 259 1
471 7 1
471 171 1
471 348 1
471 625 1
472 57 1
472 91 1
472 153 1
472 510 1
472 677 1
472 771 1
472 879 1
473 110 1
473 575 1
474 5 1
474 263 1
474 275 1
474 445 1
474 525 1
474 654 1
474 757 1
475 124 1
475 999 1
477 185 1
477 522 1
477 715 1
477 926 1
477 943 1
478 223 1
478 403 1
478 457 1
478 560 1
478 590 1
478 943 1
480 187 1
480 224 1
480 282 1
480 552 1
480 573 1
481 76 1
481 238 1
481 259 1
481 324 1
